"RunLabel"	"ComputeTemplate"	"DataDiskBytes"	"FleetVMPercent"	"MemoryStartupBytes"	"PowerScheme"	"ProcessorCount"	"VMAlignmentPct"	"Workload"	"RunType"	"CutoffType"	"QOSperVM"	"VMCount"	"IOPS"	"AverageCPU"	"AverageCSVIOPS"	"AverageCSVReadBW"	"AverageCSVReadIOPS"	"AverageCSVReadMilliseconds"	"AverageCSVWriteBW"	"AverageCSVWriteIOPS"	"AverageCSVWriteMilliseconds"	"AverageReadBW"	"AverageReadIOPS"	"AverageReadMilliseconds"	"AverageWriteBW"	"AverageWriteIOPS"	"AverageWriteMilliseconds"	"ReadMilliseconds50"	"ReadMilliseconds90"	"ReadMilliseconds99"	"WriteMilliseconds50"	"WriteMilliseconds90"	"WriteMilliseconds99"
"76f685e6-c72c-4c7e-9417-5a361ae3ad08"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio0"	"Default"	"No"	"0"	"4"	"43203.46778037"	"43.0683097266359"	"42041.2166665894"	"171914921.974677"	"41986.9329430846"	"1.33313248822983"	"391914.528861683"	"54.283723504827"	"6.22127956312358"	"176961404.028395"	"43203.46778037"	"2.83990461148296"	"0"	"0"	"0"	"2.19025"	"5.4155"	"10.57275"	"0"	"0"	"0"
"76f685e6-c72c-4c7e-9417-5a361ae3ad08"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio0"	"Default"	"No"	"5400"	"4"	"21599.7833527745"	"31.4543572695607"	"21741.2788591688"	"88474719.3903839"	"21680.6566715925"	"1.08759768919533"	"433014.174462683"	"60.6221875762903"	"4.93905459490596"	"88472712.6129645"	"21599.7833527745"	"1.9517461408998"	"0"	"0"	"0"	"1.444"	"3.57975"	"8.198"	"0"	"0"	"0"
"76f685e6-c72c-4c7e-9417-5a361ae3ad08"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio0"	"Default"	"No"	"8100"	"4"	"32394.0009998334"	"37.1306902827518"	"32588.5993306526"	"132794293.249746"	"32525.8965461485"	"1.17623114808939"	"435944.869482016"	"62.7027845041142"	"4.59339528079552"	"132685828.095318"	"32394.0009998334"	"2.65875"	"0"	"0"	"0"	"1.92625"	"5.27925"	"10.73025"	"0"	"0"	"0"
"76f685e6-c72c-4c7e-9417-5a361ae3ad08"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio0"	"Default"	"No"	"2700"	"4"	"10800.3333805477"	"23.688420673884"	"10888.1649648727"	"44241211.3765785"	"10829.8473834938"	"0.829809146237097"	"416247.724951171"	"58.3175813788807"	"3.71246879207772"	"44238165.5267234"	"10800.3333805477"	"1.68250112485097"	"0"	"0"	"0"	"1.3085"	"2.77625"	"6.79225"	"0"	"0"	"0"
"76f685e6-c72c-4c7e-9417-5a361ae3ad08"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio0"	"Default"	"No"	"1350"	"4"	"5399.07514579515"	"17.8331455614597"	"5471.67645668906"	"22119242.6827815"	"5415.61435824812"	"0.708790176840277"	"398915.983308389"	"56.062098440945"	"3.07252837509868"	"22114611.7971769"	"5399.07514579515"	"1.3590005418867"	"0"	"0"	"0"	"1.121"	"1.93775"	"4.985"	"0"	"0"	"0"
"76f685e6-c72c-4c7e-9417-5a361ae3ad08"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio0"	"Default"	"No"	"4050"	"4"	"16197.9503915847"	"28.3947574686714"	"16272.4437343286"	"66357893.2414538"	"16214.0779330662"	"0.946111122033784"	"431948.855967288"	"58.3658012623854"	"4.3497874094183"	"66346804.8039311"	"16197.9503915847"	"2.21250542444428"	"0"	"0"	"0"	"1.5495"	"4.16925"	"10.75775"	"0"	"0"	"0"
"76f685e6-c72c-4c7e-9417-5a361ae3ad08"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio0"	"Default"	"Scale"	"9450"	"4"	"37073.9043492751"	"46.6541305655802"	"37688.3322200514"	"154013040.06697"	"37634.0465444631"	"1.43808153218976"	"386628.151199663"	"54.2856755883339"	"6.14575667854283"	"151854712.214631"	"37073.9043492751"	"3.24113194729426"	"0"	"0"	"0"	"2.464"	"6.29475"	"12.2145"	"0"	"0"	"0"
"76f685e6-c72c-4c7e-9417-5a361ae3ad08"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio0"	"Default"	"No"	"675"	"4"	"2698.98773951981"	"20.819335116242"	"2896.21998040643"	"11064610.5658598"	"2840.64284517674"	"0.656732676870462"	"420336.821791945"	"55.5771352296918"	"3.62233491827341"	"11055053.7810731"	"2698.98773951981"	"1.39725533713504"	"0"	"0"	"0"	"1.07925"	"2.1295"	"5.742"	"0"	"0"	"0"
"76f685e6-c72c-4c7e-9417-5a361ae3ad08"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio0"	"Default"	"Surge"	"8684"	"4"	"35259.2037104927"	"40.4281458559485"	"35270.3628056388"	"143856774.248146"	"35209.5408263148"	"1.24011714967291"	"452808.369922362"	"60.8219793239686"	"4.8651221962147"	"144421698.398178"	"35259.2037104927"	"2.52846521844769"	"0"	"0"	"0"	"1.82625"	"5.01825"	"10.27175"	"0"	"0"	"0"
"d661b406-5e44-47c6-8cdb-e7c011c2334e"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio10"	"Default"	"No"	"0"	"4"	"23496.6747014386"	"48.5148570531417"	"23639.8823783494"	"86717213.4980635"	"21230.5366597972"	"1.84716765837536"	"10063624.3922593"	"2409.34571855212"	"10.236674794718"	"86655606.0304616"	"21156.1538160307"	"4.44437814619486"	"9586773.54663111"	"2340.52088540799"	"12.8338350489621"	"3.27375"	"8.735"	"20.82875"	"11.26425"	"20.85975"	"36.62775"
"d661b406-5e44-47c6-8cdb-e7c011c2334e"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio10"	"Default"	"No"	"2937"	"4"	"11748.1086485586"	"30.3724763699587"	"11856.1794482327"	"43288081.5276857"	"10613.7893686197"	"0.947969859526947"	"5276380.35778833"	"1242.390079613"	"4.32498247257343"	"43274605.1658057"	"10565.089151808"	"2.43446694615709"	"4845647.85869022"	"1183.01949675054"	"6.04580069866043"	"1.82975"	"4.565"	"9.8995"	"5.21175"	"9.22275"	"18.17775"
"d661b406-5e44-47c6-8cdb-e7c011c2334e"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio10"	"Default"	"No"	"4406"	"4"	"17627.6310587124"	"52.0524088137305"	"17797.9646921466"	"64971536.7286744"	"15970.7375959658"	"1.43572998198427"	"7647485.76268043"	"1827.22709618077"	"7.66944435498919"	"64945127.16645"	"15855.7439371216"	"4.1314951258962"	"7257649.6500361"	"1771.88712159085"	"10.5939609928484"	"3.0845"	"8.14675"	"17.5835"	"9.132"	"17.253"	"31.5035"
"d661b406-5e44-47c6-8cdb-e7c011c2334e"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio10"	"Default"	"No"	"1469"	"4"	"5876.38210020551"	"23.4325966086524"	"5985.14237188334"	"21665715.4205593"	"5340.30025459315"	"0.763384189757074"	"2811343.79680517"	"644.842117290196"	"3.67016466705781"	"21669227.1750264"	"5290.33866577792"	"1.77351916843549"	"2400433.90741543"	"586.043434427596"	"4.75211988809634"	"1.3855"	"2.933"	"6.93175"	"4.00425"	"6.60575"	"15.66625"
"d661b406-5e44-47c6-8cdb-e7c011c2334e"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio10"	"Default"	"No"	"3672"	"4"	"14686.419134069"	"33.5485058783731"	"14769.7827726134"	"54210959.8288982"	"13254.7335895799"	"1.02744013645456"	"6384672.51378166"	"1515.04918303349"	"4.77938040163293"	"54178864.2813879"	"13227.2617874482"	"2.80653382349312"	"5976708.4917585"	"1459.15734662073"	"6.95212137628846"	"2.07925"	"5.43625"	"11.48275"	"5.918"	"11.231"	"22.20075"
"d661b406-5e44-47c6-8cdb-e7c011c2334e"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio10"	"Default"	"No"	"735"	"4"	"2939.63256957174"	"20.0734361389907"	"3017.97811537468"	"10867346.9455861"	"2666.70053654398"	"0.660443797496916"	"1689182.72610146"	"351.277578830702"	"3.23753379563967"	"10845809.94652"	"2647.90281897462"	"1.42598582855791"	"1194925.05844581"	"291.729750597123"	"4.16301063194711"	"1.12525"	"2.178"	"5.8415"	"3.6445"	"5.66875"	"10.8685"
"d661b406-5e44-47c6-8cdb-e7c011c2334e"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio10"	"Default"	"No"	"4039"	"4"	"16158.3199133478"	"37.1020110697217"	"16231.107540436"	"59564424.598595"	"14559.872915668"	"1.19550646873473"	"7030541.14143867"	"1671.23462476806"	"5.5144307073951"	"59558723.660901"	"14540.7040187746"	"2.92227587932017"	"6625754.70417153"	"1617.61589457313"	"7.29901823434734"	"2.175"	"5.58775"	"11.76175"	"6.3075"	"11.6575"	"21.666"
"d661b406-5e44-47c6-8cdb-e7c011c2334e"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio10"	"Default"	"No"	"367"	"4"	"1467.68321762545"	"22.3666449445219"	"1691.68090963765"	"5436155.41724458"	"1487.59981715632"	"0.608434664304377"	"1018385.60275306"	"204.081092481332"	"3.25022268996914"	"5423379.81552852"	"1324.06733777552"	"1.42680011742303"	"588250.643865328"	"143.615879849934"	"4.16319869532396"	"1.07275"	"2.2055"	"5.923"	"3.6105"	"5.68925"	"11.60125"
"d661b406-5e44-47c6-8cdb-e7c011c2334e"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio10"	"Default"	"No"	"4223"	"4"	"16892.1345980734"	"42.4469489399819"	"17084.7103836046"	"62347334.631617"	"15334.1545526199"	"1.23942853107717"	"7440266.20026847"	"1750.55583098469"	"6.07348448727011"	"62244054.8872691"	"15196.3024627122"	"3.64305643399854"	"6946128.42643966"	"1695.83213536125"	"9.38903625584685"	"2.62875"	"7.0055"	"17.02575"	"7.6515"	"15.33925"	"38.28075"
"199ed9a7-e7e2-4c39-b58d-0bd61755c0f0"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio30"	"Default"	"No"	"0"	"4"	"8077.74680961203"	"39.90328554702"	"8253.41682898159"	"23245088.7510547"	"5782.04102483813"	"5.13391035577476"	"10317953.4532447"	"2471.37580414346"	"31.0797580628654"	"23150381.6499116"	"5651.94864499795"	"7.85661951328881"	"9936069.28225932"	"2425.79816461409"	"34.0354171328458"	"4.006"	"24.46375"	"46.936"	"36.52325"	"51.90575"	"65.09925"
"199ed9a7-e7e2-4c39-b58d-0bd61755c0f0"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio30"	"Default"	"No"	"1010"	"4"	"4039.47675387435"	"27.8883464610681"	"4121.50642526688"	"11575629.7577063"	"2841.76412032779"	"0.78890622244946"	"5443550.33284387"	"1279.74230493909"	"3.9885086082518"	"11546952.3079487"	"2819.08015330778"	"2.05910712111271"	"4998744.47592069"	"1220.39660056657"	"5.31307365230215"	"1.5585"	"3.5525"	"8.9515"	"4.50425"	"7.76475"	"17.7355"
"199ed9a7-e7e2-4c39-b58d-0bd61755c0f0"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio30"	"Default"	"No"	"505"	"4"	"2019.68086707771"	"29.1514590746271"	"2136.14748300575"	"5847594.48913504"	"1447.61725973274"	"0.715423624369378"	"3079628.6351529"	"688.530223273011"	"3.68006089101759"	"5764330.44554796"	"1407.30723768261"	"1.78967951624503"	"2508282.38600233"	"612.3736293951"	"4.87703526916844"	"1.333"	"3.1805"	"7.6575"	"4.16075"	"7.433"	"14.23925"
"199ed9a7-e7e2-4c39-b58d-0bd61755c0f0"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio30"	"Default"	"No"	"1514"	"4"	"6055.94537854803"	"31.4532831024719"	"6235.92439976966"	"17336770.5558893"	"4350.00223164157"	"0.861592822752721"	"7906094.36011118"	"1885.92216812809"	"4.5041784043989"	"17316786.5074932"	"4227.73108093096"	"2.91500748678366"	"7488365.76303949"	"1828.21429761706"	"6.81094580591208"	"2.1855"	"5.35175"	"12.0545"	"5.8215"	"10.6095"	"21.588"
"199ed9a7-e7e2-4c39-b58d-0bd61755c0f0"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio30"	"Default"	"No"	"1767"	"4"	"7067.2944037105"	"33.8891937352515"	"7282.67661349148"	"20279381.749071"	"5104.00598155652"	"0.928666726262584"	"9093812.39186835"	"2178.67063193497"	"4.94581268884649"	"20291737.5402766"	"4954.0374854191"	"3.24629498926116"	"8655900.33732156"	"2113.25691829139"	"7.46426973471624"	"2.4025"	"6.1975"	"14.04225"	"6.3645"	"12.14575"	"23.248"
"199ed9a7-e7e2-4c39-b58d-0bd61755c0f0"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio30"	"Default"	"No"	"252"	"4"	"1007.78204487393"	"24.0141729780858"	"1210.8710496213"	"2916301.43258774"	"850.782215381527"	"0.570253792677243"	"1659569.96231368"	"360.088834239776"	"3.38974214080864"	"2909517.18955904"	"710.331345107186"	"1.56421117100337"	"1218358.06624458"	"297.450699766744"	"4.55055133439545"	"1.15975"	"2.638"	"6.9845"	"3.7865"	"6.764"	"13.425"
"199ed9a7-e7e2-4c39-b58d-0bd61755c0f0"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"General4KWriteRatio30"	"Default"	"No"	"1893"	"4"	"7572.25230517135"	"37.4618872328532"	"7641.02888243909"	"21736027.0827238"	"5323.30100639533"	"1.06941062510151"	"9652539.16435909"	"2317.72787604376"	"5.56094837610988"	"21727538.0339721"	"5304.57471532522"	"3.55647171139516"	"9288407.40800978"	"2267.67758984614"	"8.27446327197335"	"2.681"	"6.75175"	"14.67775"	"7.20225"	"13.1235"	"24.48425"
"c88b97f9-5b90-47bc-8a9e-2b8e15380f49"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"Peak4kRead"	"Default"	"No"	"0"	"4"	"36233.169324557"	"45.9933608256605"	"39264.5112237823"	"160047948.056436"	"39204.9148122588"	"1.33692329350093"	"468629.71127119"	"59.5964115234499"	"5.63592566848965"	"148411061.553386"	"36233.169324557"	"3.37495367099543"	"0"	"0"	"0"	"2.59375"	"6.5125"	"12.8715"	"0"	"0"	"0"
"03d2d42a-0972-4c98-856f-7514c12494e2"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"Vdi"	"Baseline"	"WriteLatency"	"0"	"4"	"47.8586902182968"	"17.1001033950426"	"119.538961869868"	"202040.771550933"	"42.5436828024477"	"0.423626381623891"	"1190168.2327878"	"76.9952790674207"	"3.4839043908009"	"196029.195134144"	"23.9293451091485"	"1.4485"	"784116.780536576"	"23.9293451091485"	"4.35425"	"1.26325"	"1.86825"	"5.74375"	"3.82875"	"5.47625"	"11.72375"
"03d2d42a-0972-4c98-856f-7514c12494e2"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"Vdi"	"AnchorSearch"	"WriteLatency"	"6"	"4"	"23.7303671610287"	"28.6266348208027"	"265.433941339168"	"165233.804645919"	"193.128241611604"	"0.0511012367650256"	"848963.161707732"	"72.3056997275645"	"3.58891582490937"	"96107.4537354887"	"11.7318669110704"	"1.59299929169618"	"393166.856190635"	"11.9985002499584"	"5.00848910462064"	"1.18675"	"2.44775"	"7.04725"	"4.26825"	"6.7455"	"19.50925"
"03d2d42a-0972-4c98-856f-7514c12494e2"	"A1v2"	"30601641984"	"100"	"2147483648"	"HighPerformance"	"1"	"100"	"Vdi"	"AnchorSearch"	"Surge"	"3"	"4"	"15.7307117664846"	"15.7535217487495"	"83.8381586858027"	"69012.468595408"	"23.0317997027134"	"0.235487232511899"	"654075.664727797"	"60.8063589830893"	"3.16883434547156"	"63886.9530616607"	"7.79870032490975"	"1.26549783338196"	"259916.150917525"	"7.93201144157487"	"4.21250374816028"	"1.1035"	"1.63225"	"4.0625"	"3.9055"	"5.3085"	"8.47775"
